Workflow,State,Permission,Roles
env_licence_workflow,inacceptable,View,"Reader, Editor, Contributor, Manager"
env_licence_workflow,incomplete,Review portal content,"Reviewer, Manager"
env_licence_workflow,incomplete,Modify portal content,"Editor, Contributor, Manager"
env_licence_workflow,incomplete,Acces contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,incomplete,Modify view template,Manager
env_licence_workflow,incomplete,urban: Add CODT_Inquiry,"Editor, Contributor, Manager"
env_licence_workflow,incomplete,Delete objects,"Editor, Contributor, Manager"
env_licence_workflow,incomplete,Add portal content,"Editor, Contributor, Manager"
env_licence_workflow,incomplete,Manage properties,"Contributor, Editor, Manager"
env_licence_workflow,incomplete,Access contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,incomplete,View,"Reader, Editor, Contributor, Manager"
env_licence_workflow,college_opinion,Review portal content,"Reviewer, Manager"
env_licence_workflow,college_opinion,Modify portal content,"Editor, Contributor, Manager"
env_licence_workflow,college_opinion,Acces contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,college_opinion,Modify view template,Manager
env_licence_workflow,college_opinion,urban: Add CODT_Inquiry,"Editor, Contributor, Manager"
env_licence_workflow,college_opinion,Delete objects,"Editor, Contributor, Manager"
env_licence_workflow,college_opinion,Add portal content,"Editor, Contributor, Manager"
env_licence_workflow,college_opinion,Manage properties,"Contributor, Editor, Manager"
env_licence_workflow,college_opinion,Access contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,college_opinion,View,"Reader, Editor, Contributor, Manager"
env_licence_workflow,deposit,Review portal content,"Reviewer, Contributor, Manager"
env_licence_workflow,deposit,Modify portal content,"Editor, Contributor, Manager"
env_licence_workflow,deposit,Acces contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,deposit,Modify view template,Manager
env_licence_workflow,deposit,urban: Add CODT_Inquiry,"Editor, Contributor, Manager"
env_licence_workflow,deposit,Delete objects,"Editor, Contributor, Manager"
env_licence_workflow,deposit,Add portal content,"Editor, Contributor, Manager"
env_licence_workflow,deposit,Manage properties,"Contributor, Editor, Manager"
env_licence_workflow,deposit,Access contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,deposit,View,"Reader, Editor, Contributor, Manager"
env_licence_workflow,FT_opinion,Review portal content,"Reviewer, Manager"
env_licence_workflow,FT_opinion,Modify portal content,"Editor, Contributor, Manager"
env_licence_workflow,FT_opinion,Acces contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,FT_opinion,Modify view template,Manager
env_licence_workflow,FT_opinion,urban: Add CODT_Inquiry,"Editor, Contributor, Manager"
